Companies	Details
Address	"21/3, Sector - 22 , Korangi Industrial Area,Karachi"
Phone	"021-111-250-250, 35113621-25"
Phone 2	
Fax	021-35066915-16
Date of Listing	08/01/2007
Email	rental@aesl.com.pk
URL	www.arm.com.pk
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Karim Hatim
Designation	Chief Executive Officer
Company	Awwal Modaraba
Address	"3rd Floor, Horizon Vista, , Plot No. Commercial 10, Block No. 4, Clifton,Karachi"
Phone	021-38771685
Phone 2	
Fax	021-35374275
Date of Listing	11/02/2016
Email	info@awwal.com.pk
URL	www.awwal.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhammad Omar Amin Bawany
Designation	Chief Executive
Company	B.F. Modaraba
Address	"Plot No.43-1-E, P.E.C.H.S., Block-6 , Off: Razi Road Shahrah-e-Faisal,Karachi"
Phone	021-111-229-269
Phone 2	
Fax	021-34322864
Date of Listing	24/07/1989
Email	info@bfmodaraba.com.pk
URL	www.bfmodaraba.com.pk
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Ayaz Dawood
Designation	Chief Executive
Company	B.R.R. Guardian Modaraba
Address	"1900-B, Saima Trade Towers , I.I. Chundrigar Road,Karachi"
Phone	021-32270181-6
Phone 2	
Fax	
Date of Listing	27/11/1985
Email	brr@firstdawood.com
URL	www.firstdawood.com/brr
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Zainuddin Aziz
Designation	Chief Executive
Company	First Al-Noor Modaraba
Address	"96-A , Sindhi Muslim Cooperative Housing Society,Karachi"
Phone	021-34558268-34552943
Phone 2	
Fax	021-34553137-34556675
Date of Listing	24/11/1992
Email	info@fanm.co
URL	www.fanm.co
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Muhammed Yousuf Memon
Designation	Chairman/Chief Executive
Company	First Constellation Modaraba
Address	"Suite # 105, 1st Floor, Al-Fatima Chambers , Near Passport Office, Saddar,Karachi"
Phone	38272717
Phone 2	
Fax	
Date of Listing	25/11/1991
Email	fcmodcmc@yahoo.com
URL	
Registrar	
	
Representative	Mr. Aamir Iftikhar Khan
Designation	Chief Executive
Company	First Elite Capital Modaraba
Address	"50-A, Garden Block , New Garden Town,Lahore"
Phone	042-35442735-37
Phone 2	
Fax	042-35442738
Date of Listing	09/03/1992
Email	info@fecm.com.pk
URL	www.fecm.com.pk
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Adil A. Ghaffar
Designation	Chief Executive
Company	First Equity Modaraba
Address	"B-1004, 10th Floor,Lakson Square Bldg. No. 3 , Sarwar Shaheed Road,Karachi"
Phone	021-35672815-18
Phone 2	
Fax	021-35686116
Date of Listing	02/03/1992
Email	info@firstequitymodaraba.com.pk
URL	www.firstequitymodaraba.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr.Wasim-ul-Haq Osmani
Designation	Cheif Executive
Company	First Fidelity Leasing Modaraba
Address	"Ground Floor, 93, B-1, Canal Bank , Gulberg-II,Lahore"
Phone	042-35958845
Phone 2	042-65713461-62-65-68
Fax	042-35759122
Date of Listing	27/01/1992
Email	info@fidelitymodaraba.com
URL	www.fidelitymodaraba.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Muhammad Shoaib Ibrahim
Designation	Chief Executive Officer
Company	First Habib Modaraba
Address	"6th Floor, HBZ Plaza , I. I. Chundrigar Road,Karachi"
Phone	021-32635949-51
Phone 2	021-111-346-346
Fax	021-32627373
Date of Listing	07/04/1985
Email	fhm@habibmodaraba.com
URL	www.habibmodaraba.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Aamir Manzoor
Designation	Chief Executive Officer
Company	First IBL Modaraba
Address	"IBL Modaraba Management (Pvt.) Limited , 4-L, Gulberg-III, Main Ferozepur,,Lahore"
Phone	042-35969435-36
Phone 2	
Fax	042-35969537
Date of Listing	29/01/1990
Email	cs@firstibl.com
URL	www.firstibl.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Noor Qadir
Designation	Chief Executive
Company	First Investec Modaraba
Address	"406, 4th Floor, Trade Center , I.I. Chundrigar Road,Karachi"
Phone	021-32211325-26
Phone 2	
Fax	021-32211337
Date of Listing	17/08/1994
Email	
URL	
Registrar	
	
Representative	Mr. Naveed Riaz
Designation	Chief Executive
Company	First Imrooz Modaraba
Address	"405, 4th Floor, Beaumont Plaza , Civil Lines Quarter, Beaumont Road,Karachi"
Phone	"021-111-467-669, 35222743-5"
Phone 2	
Fax	021-35222668
Date of Listing	22/03/1994
Email	inquiries@imrooz.com
URL	www.firstimrooz.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Abbas Azam
Designation	Chief Executive Officer
Company	First National Bank Modaraba
Address	"National Bank Modaraba Management Co.Ltd. , 5th Floor, NBP RHQ Bldg. 26-Mclagon Road,Lahore"
Phone	042-99210641-70
Phone 2	042-99211200-99213249
Fax	042-99213247-7242102
Date of Listing	22/12/2003
Email	info@nmodaraba.com
URL	www.nmodaraba.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr.Aamir Malik
Designation	Chief Executive
Company	First Punjab Modaraba
Address	"Office No. 100, 3rd Floor, National Tower , 28 - Egerton Road,Lahore"
Phone	042-36305131
Phone 2	
Fax	042-36305131
Date of Listing	02/02/1993
Email	info@punjabmodaraba.com.pk
URL	www.punjabmodaraba.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Syed Wajih Hassan
Designation	Chief Executive Officer
Company	First Paramount Modaraba
Address	"Suite # 107-108, 1st Floor, PECHS Community Office Complex , Block-2, P.E.C.H.S., Shahrah-e-Faisal,Karachi"
Phone	021-34381037-38-52
Phone 2	021-34381101
Fax	021-34534410
Date of Listing	27/02/1995
Email	fpm@cyber.net.pk
URL	www.fpm.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Syed Shahid Ali Shah
Designation	Chief Executive Officer
Company	First Treet Manufacturing Modaraba
Address	"72-B, Kotlakhpat , Industrial Area,Lahore"
Phone	042-35830881
Phone 2	042-35122296-35156567
Fax	042-35215825-35114127
Date of Listing	01/01/1970
Email	usman.saleem@treetonline.com
URL	www.treetonline.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Asad Ahmed
Designation	Chairman & Chief Executive
Company	First Tri-Star Modaraba
Address	"6th Floor, Image Tower, A/33, Central Commercial Area , Block-7/8, Karachi Co-operative Housing Societies Union,Karachi"
Phone	021-32571598-32569695
Phone 2	
Fax	021-32563872
Date of Listing	31/12/1990
Email	modarab@tristar.com.pk
URL	
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Shuja Malik
Designation	Chief Executive Officer
Company	First UDL Modaraba
Address	"1st Floor, Business Enclave, 77-C, 12th Commercial Street , Off: Khayaban-e-Ittehad, D.H.A. Phase-II (Extension),Karachi"
Phone	021-35310561-5
Phone 2	
Fax	021-35310566
Date of Listing	09/07/1991
Email	info@udl.com.pk
URL	www.udl.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Shoaib Ibrahim
Designation	Chief Executive Officer
Company	Habib Metro Modaraba
Address	"3rd Floor Al Manzoor Building , Dr. Ziauddin Road,Karachi"
Phone	021-111-346-346
Phone 2	021-32635949-51
Fax	021-32627373
Date of Listing	06/10/2017
Email	fhm@habibmodaraba.com
URL	www.habibmetromodaraba.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Karim Hatim
Designation	Chief Executive Officer
Company	KASB Modaraba
Address	"3rd Floor, Horizon Vista, , Plot No. Commercial 10, Block No. 4, Clifton,,Karachi"
Phone	021-35361215-9
Phone 2	
Fax	021-35374275
Date of Listing	19/11/1990
Email	info@kasbmodaraba.com
URL	www.kasbmodaraba.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Aftab Ahmad Chaudhry
Designation	Chief Executive Officer
Company	Modaraba Al-Mali
Address	"10th Floor, Progressive Square , Opp: Nursary, Shahrah-e-Faisal,Karachi"
Phone	021-34547521-5
Phone 2	
Fax	021-34547526
Date of Listing	18/08/1987
Email	info@modarabaalmali.com
URL	www.modarabaalmali.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Raheel Qamar Ahmad
Designation	Managing Director & Chief Executive
Company	OLP Modaraba (Formerly: Orix Modaraba)
Address	"Office # 601, 6th Floor, Syedna Tahir Saifuddin , Memorial Foundation Building, Beaumont Road Civil Lines,Karachi"
Phone	021-35930000
Phone 2	
Fax	
Date of Listing	04/08/1987
Email	askus@orixmodaraba.com
URL	www.orixmodaraba.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Teizoon Kisat
Designation	Chief Executive Officer
Company	Orient Rental Modaraba
Address	"Eman Management (Pvt.) Limited , Plot # 9, Sector-24, Korangi Industrial Area,Karachi"
Phone	111-676-676
Phone 2	021-35146001-3
Fax	021-35072095
Date of Listing	17/11/2017
Email	info@orientmodaraba.com
URL	www.orientmodaraba.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Karim Hatim
Designation	Chief Executive Officer
Company	First Pak Modaraba
Address	"3rd Floor, Horizon Vista, , Plot No. Commercial 10, Block No. 4, Clifton,,Karachi"
Phone	021-35361215-9
Phone 2	
Fax	021-35374275
Date of Listing	23/10/1991
Email	info@firstpakmodaraba.com
URL	www.firstpakmodaraba.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhammad Riaz Moosani
Designation	Acting Chief Executive Officer
Company	Popular Islamic Modaraba
Address	"15th Floor Chapal Plaza , Hasrat Mohani Road off I.I Chandigar Road,Karachi"
Phone	021-32471892-3
Phone 2	
Fax	021-32471895
Date of Listing	01/01/1970
Email	info@popularislamicmodaraba.com
URL	www.popularislamicmodaraba.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Karim Hatim
Designation	Chief Executive Officer
Company	First Prudential Modaraba
Address	"3rd Floor, Horizon Vista, , Plot No. Commercial 10, Block No. 4, Clifton,,Karachi"
Phone	021-35361215-9
Phone 2	
Fax	021-35374275
Date of Listing	03/01/1990
Email	info@firstprudentialmodaraba.com
URL	www.firstprudentialmodaraba.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Muhammad Naimuddin Farooqui
Designation	Chief Executive Officer
Company	Sindh Modaraba
Address	"Sindh Modaraba Management Limited , 1st Floor, Imperial Court, Dr. Ziauddin Ahmed Road,Karachi"
Phone	021-35640708-09
Phone 2	
Fax	021-35640711
Date of Listing	23/01/2015
Email	info@sindhmodarabaltd.com
URL	www.sindhmodarabaltd.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Basheer Ahmed Chowdry
Designation	Chief Executive
Company	Trust Modaraba
Address	"104-106, Kassam Court, BC-9 , Block-5, Clifton,Karachi"
Phone	"021-35876651-52, 35371725"
Phone 2	021-111-111-303
Fax	"021-35870408, 35838304"
Date of Listing	17/12/1991
Email	"trustmod@mail.com, info@trustmodaraba.com"
URL	www.trustmodaraba.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Muhammad Kamran Shehzad
Designation	Chief Executive
Company	Unicap Modaraba
Address	"6-M/2, Block-H , Gulberg-II,Lahore"
Phone	"042-35761578, 042-35716665"
Phone 2	03000 434 434
Fax	042-35761578
Date of Listing	09/12/1991
Email	compliance@unicapmodaraba.com
URL	www.unicapmodaraba.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Faheem Haider
Designation	Managing Director & Chief Executive
Company	Mari Petroleum Company Limited
Address	"21- Mauve Area, 3rd Road , Sector G-10/4,Islamabad"
Phone	051-111-410-410
Phone 2	"22352853, 22352857"
Fax	051-22352859
Date of Listing	26/07/1994
Email	info@mpcl.com.pk
URL	www.mpcl.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Syed Khalid Siraj Subhani
Designation	Acting Managing Director / Chief Executive Officer
Company	Oil & Gas Development Company Limited
Address	"OGDCL House , Plot No. 3, F-6/G-6, Jinnah Avenue, Blue Area,Islamabad"
Phone	051-9209811-18
Phone 2	
Fax	"051-9209804-6, 9209708"
Date of Listing	19/01/2004
Email	info@ogdcl.com
URL	www.ogdcl.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Shuaib A. Malik
Designation	Chairman & Chief Executive
Company	Pakistan Oilfields Limited
Address	"POL House , Morgah,Rawalpindi"
Phone	051-5487589-97
Phone 2	
Fax	051-5487598-99
Date of Listing	30/05/1979
Email	polcms@pakoil.com.pk
URL	www.pakoil.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Moin Raza Khan
Designation	Acting Chief Executive / Managing Director
Company	Pakistan Petroleum Limited
Address	"P.I.D.C. House , Dr. Ziauddin Ahmed Road,Karachi"
Phone	"021-35651480-86, 35681391-95"
Phone 2	021-111-568-568
Fax	021-35680005-35682125
Date of Listing	16/09/2004
Email	info@ppl.com.pk
URL	www.ppl.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Shuaib A. Malik
Designation	Chief Executive
Company	Attock Petroleum Limited
Address	"Attock House , Morgah,Rawalpindi"
Phone	051-5127250-54
Phone 2	
Fax	051-5127255 - 5127272
Date of Listing	07/03/2005
Email	contact@apl.com.pk
URL	www.apl.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Asad Alam Niazi
Designation	Chief Executive Officer
Company	Burshane LPG (Pakistan) Limited
Address	"Suit # 101, 1st Floor, Horizan Vista, Plot No.Commercial-10 , Block-4, Scheme No.5, Clifton,Karachi"
Phone	021-35309870-73
Phone 2	021-35878356
Fax	021-35878353
Date of Listing	23/11/1982
Email	
URL	www.burshane.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Adeeb Ahmad
Designation	Chief Executive Officer
Company	Hascol Petroleum Limited
Address	"29th Floor, Sky Tower, West Wing (Tower A), , Dolmen City, Abdul Sattar Edhi Avenue, Block 4, Clifton,Karachi"
Phone	021-111-757-757
Phone 2	
Fax	021-35301351
Date of Listing	14/05/2014
Email	info@hascol.com
URL	www.hascol.com
	
Representative	Mr. Hassan Tahir
Designation	Chief Executive Officer
Company	Hi-Tech Lubricants Limited
Address	"1-A, Danepur Road , GOR-1,Lahore"
Phone	042-111-645-942
Phone 2	
Fax	042-36311884
Date of Listing	03/03/2016
Email	info@hitechlubricants.com
URL	www.hitechlubricants.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Inamullah
Designation	Chief Executive Officer
Company	Oilboy Energy Limited (Formerly: Drekkar Kingsway Limited)
Address	"Office Block : Farmhouse No. 16, , Street No. 12, Chak Shahzad,,Islamabad"
Phone	051-2726544
Phone 2	
Fax	051-2726543
Date of Listing	06/06/1996
Email	inf@drekkarkingsway.com
URL	www.drekkarkingsway.com
Registrar	Digital Custodian Company Limited
	
Representative	Syed Muhammad Taha
Designation	Managing Director & Chief Executive Officer
Company	Pakistan State Oil Company Limited
Address	"PSO House , Khayaban-e-Iqbal, Clifton,Karachi"
Phone	021-99203866-85
Phone 2	021-111-111-776
Fax	021-99203721-99203835
Date of Listing	17/10/1977
Email	"info@psopk.com, company.secretary@psopk.com"
URL	www.psopk.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Waqar Siddiqui
Designation	Chief Executive Officer
Company	Shell Pakistan Limited
Address	"Shell House , 6, Chaudhry Khaliquzzaman Road,Karachi"
Phone	021-111-888-222
Phone 2	
Fax	021-3563-0110
Date of Listing	22/01/1970
Email	
URL	www.shell.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Amer Tufail
Designation	Acting Managing Director/Chief Executive
Company	Sui Northern Gas Pipelines Limited
Address	"Gas House , 21-Kashmir Road,Lahore"
Phone	"042-99201451-60,99201490-99"
Phone 2	042-99201419
Fax	042-99201369-99201302
Date of Listing	02/11/1964
Email	info@sngpl.com.pk
URL	www.sngpl.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Imran Maniar
Designation	Chief Executive Officer
Company	Sui Southern Gas Company Limited
Address	"SSGC House, ST-4/B, Block-14,Gulshan-e-Iqbal , Sir Shah Muhammad Suleman Road,Karachi"
Phone	021-99021743-44
Phone 2	021-99021000
Fax	021-99231702-99231554
Date of Listing	09/07/1956
Email	info@ssgc.com.pk
URL	www.ssgc.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Saifulllah A. Paracha
Designation	Chief Executive
Company	Abson Industries Limited
Address	"Anum Estate, 8th Floor (Accross Duty Free Shop) , 49, Darul-Aman Cooperative Society,Sharea Faisal,Karachi"
Phone	4313012-15
Phone 2	
Fax	4313016
Date of Listing	23/11/1993
Email	
URL	
Registrar	
	
Representative	Mr. Aftab Ahmad
Designation	Chief Executive Officer
Company	Century Paper & Board Mills Limited
Address	"Lakson Square Building No. 2 , Sarwar Shaheed Road,Karachi"
Phone	021-35698000
Phone 2	
Fax	021-35683410-35681163
Date of Listing	05/05/1990
Email	info@centurypaper.com.pk
URL	www.centurypaper.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Amer Faruque
Designation	Chief Executive
Company	Cherat Packaging Limited
Address	"Modern Motors House , Beaumont Road,Karachi"
Phone	021-5683566-5683567-5688348
Phone 2	021-111-000-009
Fax	021-35683425
Date of Listing	17/07/1991
Email	info@gfg.com.pk
URL	www.gfg.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Fazal Karim Dadabhoy
Designation	Chief Executive
Company	Dadabhoy Sack Limited
Address	"Suit #4, 2nd Floor, Plot No.28-30/C, Noor Centre , Khayaban-e-Ittehad,Lane #12, Phase-VII, D.H.A.,Karachi"
Phone	021-35312002-04
Phone 2	021-35312006-7
Fax	021-35312011
Date of Listing	02/04/1996
Email	
URL	www.mhdadabhoy.com
Registrar	
	
Representative	Mr. Khalid Butt
Designation	Chief Executive Officer
Company	Pak Agro Packaging Limited (GEM)
Address	"Suit No. 08, 2nd Floor, , 1-A Plaza, F-10 Markaz,,Islamabad"
Phone	051-2213012
Phone 2	051- 2213013
Fax	051-2213014
Date of Listing	26/11/2021
Email	info@pakagro.com
URL	www.pakagro.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Amir Ahmed Chapra
Designation	Chief Executive Officer
Company	Merit Packaging Limited
Address	"Lakson Square Building No. 2, 3rd Floor , Sharwar Shaheed Road,Karachi"
Phone	021-35689080-85
Phone 2	021-35698000
Fax	021-35683410-35684336
Date of Listing	08/06/1985
Email	
URL	www.meritpack.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Syed Hyder Ali
Designation	Chief Executive & Managing Director
Company	Packages Limited
Address	"4th Floor, The Forum, Suit # 416-422 , G-20, Block-9, Clifton, Khayaban-e-Jami,Karachi"
Phone	"021-35874047-49, 35378650-52"
Phone 2	021-35833011
Fax	021-35860251
Date of Listing	09/07/1965
Email	info@packages.com.pk
URL	www.packages.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Abid Sayeed
Designation	Chief Executive
Company	Pakistan Paper Products Limited
Address	"D-58, Estate Avenue , S.I.T.E.,Karachi"
Phone	021-32579698-32579302
Phone 2	021-32569303
Fax	021-32579301
Date of Listing	25/09/1964
Email	faisal.saeed@pakpaper.com
URL	www.pakpaper.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Tayyab Aijaz
Designation	Chief Executive Officer
Company	Roshan Packages Limited
Address	"325-G-III , M.A. Johar Town,Lahore"
Phone	042-35290734-38
Phone 2	
Fax	042-35290731
Date of Listing	28/02/2017
Email	info@roshanpackages.com.pk
URL	www.roshanpackages.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Dr. Muhammad Ashraf Butt
Designation	Chief Executive Officer
Company	Security Papers Limited
Address	"Jinnah Avenue , Malir Halt,Karachi"
Phone	021-99248285
Phone 2	
Fax	021-99248286
Date of Listing	05/12/1967
Email	comsec@security-papers.com
URL	www.security-papers.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Syed Anis Ahmed
Designation	Chief Executive
Company	Abbott Laboratories (Pakistan) Limited
Address	"Opp: Radio Pakistan Transmission Centre , Hyderabad Road, Landhi,Karachi"
Phone	021-35069748-49
Phone 2	021-111-222-688
Fax	021-35001903
Date of Listing	14/06/1982
Email	pk.shareholderquery@abbott.com
URL	www.abbott.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Ms. Nusrat Munshi
Designation	Chief Executive Officer
Company	AGP Limited
Address	"B-23/C , S.I.T.E.,Karachi"
Phone	021-111-247-247
Phone 2	
Fax	021-32570678
Date of Listing	05/03/2018
Email	info@agp.com.pk
URL	www.agp.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Rizwan Ahmad
Designation	Chief Executive Officer
Company	Citi Pharma Limited
Address	"3.5 KM, Head Balloki Road , Phool Nagar,Kasur"
Phone	049-4510189
Phone 2	049-4513392
Fax	049-4510191
Date of Listing	09/07/2021
Email	info@citipharmaceuticals.com
URL	www.citipharmaceuticals.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Osman Khalid Waheed
Designation	Chief Executive
Company	Ferozsons Laboratories Limited
Address	"197- A, , The Mall,,Rawalpindi"
Phone	051-4252155-57
Phone 2	
Fax	051-4252153
Date of Listing	27/02/1961
Email	cs@ferozsons-labs.com
URL	www.ferozsons-labs.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Ms. Erum Shakir Rahim
Designation	Chief Executive Officer
Company	GlaxoSmithKline Pakistan Limited
Address	"Sykes Building , 35-Dockyard Road, West Wharf,Karachi"
Phone	021-35274838
Phone 2	021-111-475-725
Fax	021-32314898
Date of Listing	07/03/1953
Email	
URL	www.pk.gsk.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Farhan Muhammad Haroon
Designation	Chief Executive Officer
Company	GlaxoSmithKline Consumer Healthcare Pakistan Limited
Address	"Sykes Building , 35-Dockyard Road, West Wharf,Karachi"
Phone	021-111-475-725
Phone 2	
Fax	021-32314898 - 32311122
Date of Listing	22/03/2017
Email	
URL	www.gsk.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Dr. Adeel Abbas Haideri
Designation	Chief Executive Officer
Company	Highnoon Laboratories Limited
Address	"17.5 Kilometer Multan Road , ,Lahore"
Phone	042-37510023-27
Phone 2	042-111-000-465
Fax	042-37510037
Date of Listing	16/01/1995
Email	info@highnoon.com.pk
URL	www.highnoon-labs.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Mufti Zia ul Islam
Designation	Chief Executive Officer
Company	IBL HealthCare Limited
Address	"One IBL Centre, 2nd Floor, Plot # 1, Block 7 & 8, , DMCHS, Tipu Sultan Road, Off: Shahrah-e-Faisal,,Karachi"
Phone	021-37170204
Phone 2	
Fax	021-37170224-5
Date of Listing	27/03/2009
Email	info@iblhc.com
URL	www.iblhc.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Asif Misbah
Designation	Chief Executive
Company	Macter International Limited
Address	"F-216 , S.I.T.E.,Karachi"
Phone	021-32591000
Phone 2	021-32575311-14
Fax	021-32564236
Date of Listing	01/08/2017
Email	info@macter.com
URL	www.macter.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Hanif Sattar
Designation	Chief Executive Officer
Company	Otsuka Pakistan Limited
Address	"30-B, S.M.C.H. Society , Off: Shahrah-e-Faisal,Karachi"
Phone	021-34528651-54
Phone 2	
Fax	021-34549857
Date of Listing	26/06/1989
Email	info@otsuka.pk
URL	www.otsuka.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Dr. Asim Jamal
Designation	Chief Executive
Company	Sanofi-Aventis Pakistan Limited
Address	"Plot No. 23, Sector No. 22 , Korangi Industrial Area,Karachi"
Phone	021-35060221-35
Phone 2	
Fax	021-5064490-5060358
Date of Listing	06/11/1977
Email	contact@sanofi.com
URL	"www.sanofi.com.pk, www.sanofidiabetes.com.pk"
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Syed Nadeem Ahmed
Designation	Chief Executive Officer
Company	The Searle Company Limited
Address	"One IBL Centre, 2nd Floor, Plot # 1, Block 7 & 8, DMCHS, , Tipu Sultan Road, Off Shahra-e-Faisal,,Karachi"
Phone	021-37170200
Phone 2	021-37170201
Fax	021-37170224-225
Date of Listing	28/12/1993
Email	info@searlecompany.com
URL	www.searlecompany.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. S. M. Wajeehuddin
Designation	Chief Executive
Company	Wyeth Pakistan Limited
Address	"Room No. 002 & 003, PGS Admin Block , First Floor, Plot No. B-2, S.I.T.E.,Karachi"
Phone	021-32570621(5 Lines)
Phone 2	
Fax	021-32577023
Date of Listing	01/09/1982
Email	info@wyethpakistan.com
URL	www.wyethpakistan.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Muhammed Arshad Sheikh
Designation	Chief Executive
Company	Arshad Energy Limited
Address	"404, 4th Floor, Business Centre , Mumtaz Hassan Road,Karachi"
Phone	021-32416553
Phone 2	
Fax	021-2419817
Date of Listing	21/05/1996
Email	
URL	www.idealenergyltd.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Umer Shehzad Sheikh
Designation	Chief Executive
Company	Altern Energy Limited
Address	"Descon Headquarters , 18-Km Ferozepur,Lahore"
Phone	042-35990034
Phone 2	111-337-266
Fax	042-35401938-39
Date of Listing	06/02/1998
Email	altern@wol.net.pk
URL	
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Shahab Qader
Designation	Chief Executive Officer
Company	Engro Powergen Qadirpur Limited
Address	"16th Floor, The Harbour Front Building , HC-3, Marine Drive, Block-4, Clifton,Karachi"
Phone	021-35297875-84
Phone 2	021-111-211-211
Fax	021-35296018
Date of Listing	27/10/2014
Email	
URL	www.engropowergen.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Kamran Kamal
Designation	Chief Executive Officer
Company	The Hub Power Company Limited
Address	"09th Floor, Ocean Tower, G-3, Block-9 , Main Clifton Road,Karachi"
Phone	021-35874677-86
Phone 2	021-35839018
Fax	021-35870397
Date of Listing	13/12/1994
Email	info@hubpower.com
URL	www.hubpower.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Mohammad Mosin
Designation	Acting Chief Executive Officer
Company	Japan Power Generation Limited
Address	"Near: Jia Begga Railway Station , Off: Raiwind Road, Chowk Araian,Lahore"
Phone	042-35835864-67
Phone 2	
Fax	042-35835860
Date of Listing	26/11/1996
Email	jpgl@brain.net.pk
URL	www.jpglpk.com
Registrar	
	
Representative	Mr. Aftab Mahmood Butt
Designation	Chief Executive Officer
Company	Kot Addu Power Company Limited
Address	"5/B-3 , Gulberg-III,Lahore"
Phone	042-111-152-726
Phone 2	042-35772912-16
Fax	042-35772922
Date of Listing	18/04/2005
Email	anthony.rath@kapco.com.pk
URL	www.kapco.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Syed Moonis Abdullah Alvi
Designation	Chief Executive Officer
Company	K-Electric Limited
Address	"KE House, 39-B, Sunset Boulevard, , Phase-II, Defence Housing Authority,Karachi"
Phone	"021-32637133,111-537-211"
Phone 2	021-32647014
Fax	021-99205165
Date of Listing	02/04/1949
Email	rizwan.pesnani@ke.com.pk
URL	www.ke.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Zeid Yousuf Saigol
Designation	Chief Executive Officer
Company	Kohinoor Energy Limited
